Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
708650,1,0.8,0.04,66
708850,1,0.78,0.02,74
709050,1,0.77,0.03,79
709250,1,0.75,-0.09,62
709450,1,0.74,-0.14,63
709650,1,0.7,0.1,92
709850,1,0.65,0.06,80
710050,1,0.6,0.06,87
710250,1,0.56,-0.22,42
710450,1,0.53,-0.16,86
710650,1,0.51,-0.09,46
710850,1,0.56,-0.74,40
711050,1,0.5,-0.48,44
711250,1,2.1,-3.84,40
711450,1,1.51,-3.83,40
711650,1,1.67,-3.73,40
711850,1,0.53,0.01,47
712050,1,0.52,0.01,44
712250,1,0.52,0.01,44
712450,1,0.52,0.01,45
712650,1,1.49,-3.84,58
712850,1,1.36,-3.81,52
713050,1,0.89,-3.78,40
713250,1,0.38,-3.72,58
713450,1,1.5,-3.84,85
713650,1,1.36,-3.81,41
713850,1,0.89,-3.78,74
714050,1,0.49,-3.72,50
714250,1,0.2,-3.63,41
714450,1,1.49,-3.84,41
714650,1,1.36,-3.81,80
714850,1,0.89,-3.78,61
715050,1,0.61,-2.96,66
715250,1,0.4,-1.86,64
715450,1,0.47,0.08,98
715650,1,0.55,0.09,62
715850,1,0.62,0.1,60
716050,1,0.7,0.06,86
716250,1,0.77,0.25,46
716450,1,0.87,0.25,54
716650,1,0.92,0.18,41
716850,1,0.96,-0.59,41
717050,1,0.89,-1.19,40
717250,1,1.27,0.05,52
717450,1,1.66,-3.77,45
717650,1,1.4,-3.76,97
717850,1,1.01,-3.73,52
718050,1,0.61,-3.68,45
718250,1,0.38,-3.57,40
718450,1,1.03,0.01,67
718650,1,1.68,-3.85,45
718850,1,1.54,0.09,96
719050,1,1.4,0.08,83
719250,1,1.26,0.04,50
719450,1,1.12,-3.84,53
719650,1,1.28,0.11,74
719850,1,1.44,0.03,51
720050,1,1.6,-3.81,90
720250,1,1.11,-1.8,40
720450,1,0.95,-1.06,41
720650,1,0.89,-0.67,40
720850,1,0.82,-1.24,100
721050,1,0.65,-1.68,40
721250,1,0.39,-2.29,90
721450,1,0.25,-2.59,40
721650,1,0.98,0.08,76
721850,1,1.7,-3.83,82
722050,1,1.44,-3.78,40
722250,1,1.1,-3.75,52
722450,1,0.7,-3.66,40
722650,1,0.6,-3.53,100
722850,1,0.33,-3.48,53
723050,1,2.07,-3.84,40
723250,1,1.5,-3.82,40
723450,1,1.09,-3.77,89
723650,1,0.79,-3.68,40
723850,1,0.36,-3.64,45
724050,1,2.47,-3.84,40
724250,1,2.02,-3.81,40
724450,1,1.27,-1.86,41
724650,1,0.98,-1.13,60
724850,1,0.8,-0.94,68
725050,1,0.68,-0.79,54
725250,1,0.54,-0.7,95
725450,1,0.54,0.05,94
725650,1,0.53,0.07,85
725850,1,0.53,0.05,56
726050,1,0.52,0.09,59
726250,1,0.52,-0.2,54
726450,1,0.95,-1.33,40
726650,1,0.71,-0.75,46
726850,1,1.4,0.07,72
727050,1,2.09,-3.84,100
727250,1,0.97,-1.28,44
727450,1,0.73,-0.93,44
