Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
704450,1,1.32,-2.9,925.0
704650,1,1.06,-2.54,137.0
704850,1,0.9950000000000001,0.01,91.0
705050,1,0.93,0.1,87.0
705250,1,0.865,0.08,86.0
705450,1,0.8,-0.11,5545.0
705650,1,0.95,-1.96,50.0
705850,1,0.78,-1.22,2450.0
706050,1,0.73,-0.64,1972.0
706250,1,0.7975,0.02,85.0
706450,1,0.865,0.05,85.0
706650,1,0.9325,0.03,68.0
706850,1,1.0,0.01,3106.0
707050,1,0.875,0.07,85.0
707250,1,0.75,0.02,6649.0
707450,1,1.5,0.09,2048.0
707650,1,1.76,0.1,2221.0
707850,1,1.62,-0.71,657.0
708050,1,1.39,-1.07,565.0
708250,1,1.14,-1.54,116.0
708450,1,0.82,-2.26,106.0
708650,1,0.8025,0.04,66.0
708850,1,0.7849999999999999,0.02,74.0
709050,1,0.7675,0.03,79.0
709250,1,0.75,-0.09,24649.0
709450,1,0.74,-0.14,26186.0
709650,1,0.6950000000000001,0.1,92.0
709850,1,0.65,0.06,80.0
710050,1,0.605,0.06,87.0
710250,1,0.56,-0.22,2765.0
710450,1,0.53,-0.16,51125.0
710650,1,0.51,-0.09,7400.0
710850,1,0.56,-0.74,122.0
711050,1,0.5,-0.48,5140.0
711250,1,2.1,-3.84,130.0
711450,1,1.51,-3.83,125.0
711650,1,1.67,-3.73,145.0
711850,1,0.53,0.01,8245.0
712050,1,0.52,0.01,5189.0
712250,1,0.52,0.01,4849.0
712450,1,0.52,0.01,6581.0
712650,1,1.49,-3.84,58.0
712850,1,1.36,-3.81,52.0
713050,1,0.89,-3.78,106.0
713250,1,0.38,-3.72,58.0
713450,1,1.5,-3.84,85.0
713650,1,1.36,-3.81,41.0
713850,1,0.89,-3.78,74.0
714050,1,0.49,-3.72,50.0
714250,1,0.2,-3.63,41.0
714450,1,1.49,-3.84,41.0
714650,1,1.36,-3.81,80.0
714850,1,0.89,-3.78,61.0
715050,1,0.61,-2.96,29818.0
715250,1,0.4,-1.86,26961.0
715450,1,0.47400000000000003,0.08,98.0
715650,1,0.548,0.09,62.0
715850,1,0.622,0.1,60.0
716050,1,0.696,0.06,86.0
716250,1,0.77,0.25,7546.0
716450,1,0.87,0.25,15912.0
716650,1,0.92,0.18,2034.0
716850,1,0.96,-0.59,1250.0
717050,1,0.89,-1.19,113.0
717250,1,1.275,0.05,52.0
717450,1,1.66,-3.77,45.0
717650,1,1.4,-3.76,97.0
717850,1,1.01,-3.73,52.0
718050,1,0.61,-3.68,45.0
718250,1,0.38,-3.57,116.0
718450,1,1.03,0.01,67.0
718650,1,1.68,-3.85,45.0
718850,1,1.54,0.09,96.0
719050,1,1.4,0.08,83.0
719250,1,1.26,0.04,50.0
719450,1,1.12,-3.84,53.0
719650,1,1.28,0.11,74.0
719850,1,1.4400000000000002,0.03,51.0
720050,1,1.6,-3.81,90.0
720250,1,1.11,-1.8,1181.0
720450,1,0.95,-1.06,1460.0
720650,1,0.89,-0.67,653.0
720850,1,0.82,-1.24,100.0
721050,1,0.65,-1.68,117.0
721250,1,0.39,-2.29,90.0
721450,1,0.25,-2.59,106.0
721650,1,0.975,0.08,76.0
721850,1,1.7,-3.83,82.0
722050,1,1.44,-3.78,193.0
722250,1,1.1,-3.75,52.0
722450,1,0.7,-3.66,104.0
722650,1,0.6,-3.53,100.0
722850,1,0.33,-3.48,53.0
723050,1,2.07,-3.84,130.0
723250,1,1.5,-3.82,130.0
723450,1,1.09,-3.77,89.0
723650,1,0.79,-3.68,113.0
723850,1,0.36,-3.64,45.0
724050,1,2.47,-3.84,106.0
724250,1,2.02,-3.81,146.0
724450,1,1.27,-1.86,2257.0
724650,1,0.98,-1.13,22642.0
724850,1,0.8,-0.94,32040.0
725050,1,0.68,-0.79,16272.0
725250,1,0.54,-0.7,61802.0
725450,1,0.536,0.05,94.0
725650,1,0.532,0.07,85.0
725850,1,0.528,0.05,56.0
726050,1,0.524,0.09,59.0
726250,1,0.52,-0.2,16381.0
726450,1,0.95,-1.33,101.0
726650,1,0.71,-0.75,6865.0
726850,1,1.4,0.07,72.0
727050,1,2.09,-3.84,100.0
727250,1,0.97,-1.28,5393.0
727450,1,0.73,-0.93,5274.0
727650,1,0.74,-1.24,3610.0
727850,1,0.72,-2.05,169.0
728050,1,0.43,-2.3,121.0
728250,1,0.02,-2.55,41.0
728450,1,2.23,-3.84,145.0
728650,1,1.36,-3.84,58.0
728850,1,1.44,0.06,55.0
729050,1,1.52,-3.84,50.0
