Timestamp(ms),knull,X(m/s^2),Y(m/s^2),Z(m/s^2)
[2024-08-14 10:14:53.150] 116394, 0.59, 0.35, -9.49
[2024-08-14 10:14:53.150] 116406, 0.67, 0.39, -9.49
[2024-08-14 10:14:53.166] 116418, 0.63, 0.39, -9.49
[2024-08-14 10:14:53.166] 116430, 0.67, 0.39, -9.45
[2024-08-14 10:14:53.171] 116442, 0.63, 0.39, -9.41
[2024-08-14 10:14:53.171] 116454, 0.67, 0.47, -9.38
[2024-08-14 10:14:53.171] 116466, 0.67, 0.39, -9.49
[2024-08-14 10:14:53.171] 116478, 0.67, 0.43, -9.45
[2024-08-14 10:14:53.276] 116490, 0.67, 0.35, -9.41
[2024-08-14 10:14:53.277] 116502, 0.71, 0.35, -9.45
[2024-08-14 10:14:53.280] 116514, 0.63, 0.35, -9.45
[2024-08-14 10:14:53.288] 116526, 0.67, 0.35, -9.45
[2024-08-14 10:14:53.288] 116538, 0.67, 0.35, -9.45
[2024-08-14 10:14:53.288] 116550, 0.67, 0.35, -9.49
[2024-08-14 10:14:53.296] 116562, 0.67, 0.43, -9.45
[2024-08-14 10:14:53.296] 116574, 0.59, 0.39, -9.41
[2024-08-14 10:14:53.296] 116586, 0.63, 0.35, -9.53
[2024-08-14 10:14:53.296] 116598, 0.67, 0.35, -9.49
[2024-08-14 10:14:53.349] 116610, 0.71, 0.35, -9.45
[2024-08-14 10:14:53.355] 116622, 0.67, 0.35, -9.45
[2024-08-14 10:14:53.355] 116634, 0.71, 0.35, -9.41
[2024-08-14 10:14:53.357] 116646, 0.67, 0.35, -9.49
[2024-08-14 10:14:53.357] 116658, 0.67, 0.39, -9.45
[2024-08-14 10:14:53.389] 116670, 0.67, 0.35, -9.45
[2024-08-14 10:14:53.389] 116682, 0.63, 0.43, -9.49
[2024-08-14 10:14:53.399] 116694, 0.67, 0.39, -9.41
[2024-08-14 10:14:53.484] 116706, 0.63, 0.51, -9.41
[2024-08-14 10:14:53.484] 116718, 0.67, 0.39, -9.41
[2024-08-14 10:14:53.484] 116730, 0.67, 0.35, -9.53
[2024-08-14 10:14:53.484] 116742, 0.63, 0.43, -9.49
[2024-08-14 10:14:53.501] 116754, 0.67, 0.35, -9.41
[2024-08-14 10:14:53.501] 116766, 0.59, 0.39, -9.41
[2024-08-14 10:14:53.504] 116778, 0.67, 0.39, -9.45
