Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2),Person_ID,Label,Smoothed_Label
3051710,0.16,0.0,-9.49,Person_1,Static,Static
3051722,0.16,0.0,-9.57,Person_1,Static,Static
3051734,0.2,0.0,-9.53,Person_1,Static,Static
3051746,0.24,0.04,-9.53,Person_1,Static,Static
3051758,0.16,0.04,-9.57,Person_1,Static,Static
3051770,0.2,0.04,-9.49,Person_1,Static,Static
3051782,0.2,0.04,-9.57,Person_1,Static,Static
3051794,0.2,0.04,-9.53,Person_1,Static,Static
3051806,0.2,0.04,-9.49,Person_1,Static,Static
3051818,0.16,0.04,-9.53,Person_1,Static,Static
3051830,0.16,0.04,-9.53,Person_1,Static,Static
3051842,0.2,0.04,-9.57,Person_1,Static,Static
3051854,0.2,0.04,-9.53,Person_1,Static,Static
3051866,0.2,0.0,-9.49,Person_1,Static,Static
3051878,0.2,0.0,-9.57,Person_1,Static,Static
3051890,0.24,0.0,-9.57,Person_1,Static,Static
