Timestamp,X(m/s^2),Y(m/s^2),Z(m/s^2),Label
2024-08-15 10:13:56.959,0.75,0.12,-9.45,Stationary
2024-08-15 10:13:56.967,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:56.973,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:57.003,0.75,0.12,-9.53,Stationary
2024-08-15 10:13:57.006,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:57.017,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:57.040,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:57.064,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:57.064,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:57.064,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:57.077,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:57.081,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:57.111,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:57.115,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:57.124,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:57.129,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:57.155,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:57.159,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:57.167,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:57.196,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:57.208,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:57.208,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:57.213,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:57.244,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:57.248,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:57.256,0.71,0.08,-9.49,Stationary
2024-08-15 10:13:57.280,0.75,0.12,-9.45,Stationary
2024-08-15 10:13:57.285,0.67,0.16,-9.38,Stationary
2024-08-15 10:13:57.285,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:57.300,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:57.324,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:57.327,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:57.334,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:57.347,0.71,0.08,-9.45,Stationary
2024-08-15 10:13:57.372,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:57.375,0.67,0.08,-9.49,Stationary
2024-08-15 10:13:57.414,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:57.418,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:57.426,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:57.426,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:57.426,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:57.460,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:57.463,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:57.471,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:57.478,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:57.489,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:57.517,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:57.520,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:57.520,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:57.555,0.71,0.24,-9.45,Stationary
2024-08-15 10:13:57.560,0.67,0.12,-9.45,Stationary
